province_state,country,code,lat,long
,Afghanistan,Afghanistan,33.0,65.0
,Albania,Albania,41.1533,20.1683
,Algeria,Algeria,28.0339,1.6596
,Andorra,Andorra,42.5063,1.5218
,Angola,Angola,-11.2027,17.8739
,Antigua and Barbuda,AntiguaandBarbuda,17.0608,-61.7964
,Argentina,Argentina,-38.4161,-63.6167
,Armenia,Armenia,40.0691,45.0382
Australian Capital Territory,Australia,AustralianCapitalTerritoryAustralia,-35.4735,149.0124
New South Wales,Australia,NewSouthWalesAustralia,-33.8688,151.2093
Northern Territory,Australia,NorthernTerritoryAustralia,-12.4634,130.8456
Queensland,Australia,QueenslandAustralia,-28.0167,153.4
South Australia,Australia,SouthAustraliaAustralia,-34.9285,138.6007
Tasmania,Australia,TasmaniaAustralia,-41.4545,145.9707
Victoria,Australia,VictoriaAustralia,-37.8136,144.9631
Western Australia,Australia,WesternAustraliaAustralia,-31.9505,115.8605
,Austria,Austria,47.5162,14.5501
,Azerbaijan,Azerbaijan,40.1431,47.5769
,Bahamas,Bahamas,25.0343,-77.3963
,Bahrain,Bahrain,26.0275,50.55
,Bangladesh,Bangladesh,23.685,90.3563
,Barbados,Barbados,13.1939,-59.5432
,Belarus,Belarus,53.7098,27.9534
,Belgium,Belgium,50.8333,4.0
,Benin,Benin,9.3077,2.3158
,Bhutan,Bhutan,27.5142,90.4336
,Bolivia,Bolivia,-16.2902,-63.5887
,Bosnia and Herzegovina,BosniaandHerzegovina,43.9159,17.6791
,Brazil,Brazil,-14.235,-51.9253
,Brunei,Brunei,4.5353,114.7277
,Bulgaria,Bulgaria,42.7339,25.4858
,Burkina Faso,BurkinaFaso,12.2383,-1.5616
,Cabo Verde,CaboVerde,16.5388,-23.0418
,Cambodia,Cambodia,11.55,104.9167
,Cameroon,Cameroon,3.848,11.5021
Alberta,Canada,AlbertaCanada,53.9333,-116.5765
British Columbia,Canada,BritishColumbiaCanada,49.2827,-123.1207
Grand Princess,Canada,GrandPrincessCanada,37.6489,-122.6655
Manitoba,Canada,ManitobaCanada,53.7609,-98.8139
New Brunswick,Canada,NewBrunswickCanada,46.5653,-66.4619
Newfoundland and Labrador,Canada,NewfoundlandandLabradorCanada,53.1355,-57.6604
Nova Scotia,Canada,NovaScotiaCanada,44.682,-63.7443
Ontario,Canada,OntarioCanada,51.2538,-85.3232
Prince Edward Island,Canada,PrinceEdwardIslandCanada,46.5107,-63.4168
Quebec,Canada,QuebecCanada,52.9399,-73.5491
Saskatchewan,Canada,SaskatchewanCanada,52.9399,-106.4509
,Central African Republic,CentralAfricanRepublic,6.6111,20.9394
,Chad,Chad,15.4542,18.7322
,Chile,Chile,-35.6751,-71.543
Anhui,China,AnhuiChina,31.8257,117.2264
Beijing,China,BeijingChina,40.1824,116.4142
Chongqing,China,ChongqingChina,30.0572,107.874
Fujian,China,FujianChina,26.0789,117.9874
Gansu,China,GansuChina,37.8099,101.0583
Guangdong,China,GuangdongChina,23.3417,113.4244
Guangxi,China,GuangxiChina,23.8298,108.7881
Guizhou,China,GuizhouChina,26.8154,106.8748
Hainan,China,HainanChina,19.1959,109.7453
Hebei,China,HebeiChina,39.549,116.1306
Heilongjiang,China,HeilongjiangChina,47.862,127.7615
Henan,China,HenanChina,33.882,113.614
Hong Kong,China,HongKongChina,22.3,114.2
Hubei,China,HubeiChina,30.9756,112.2707
Hunan,China,HunanChina,27.6104,111.7088
Inner Mongolia,China,InnerMongoliaChina,44.0935,113.9448
Jiangsu,China,JiangsuChina,32.9711,119.455
Jiangxi,China,JiangxiChina,27.614,115.7221
Jilin,China,JilinChina,43.6661,126.1923
Liaoning,China,LiaoningChina,41.2956,122.6085
Macau,China,MacauChina,22.1667,113.55
Ningxia,China,NingxiaChina,37.2692,106.1655
Qinghai,China,QinghaiChina,35.7452,95.9956
Shaanxi,China,ShaanxiChina,35.1917,108.8701
Shandong,China,ShandongChina,36.3427,118.1498
Shanghai,China,ShanghaiChina,31.202,121.4491
Shanxi,China,ShanxiChina,37.5777,112.2922
Sichuan,China,SichuanChina,30.6171,102.7103
Tianjin,China,TianjinChina,39.3054,117.323
Tibet,China,TibetChina,31.6927,88.0924
Xinjiang,China,XinjiangChina,41.1129,85.2401
Yunnan,China,YunnanChina,24.974,101.487
Zhejiang,China,ZhejiangChina,29.1832,120.0934
,Colombia,Colombia,4.5709,-74.2973
,Congo (Brazzaville),Congo(Brazzaville),-4.0383,21.7587
,Congo (Kinshasa),Congo(Kinshasa),-4.0383,21.7587
,Costa Rica,CostaRica,9.7489,-83.7534
,Cote d'Ivoire,Coted'Ivoire,7.54,-5.5471
,Croatia,Croatia,45.1,15.2
,Diamond Princess,DiamondPrincess,0.0,0.0
,Cuba,Cuba,22.0,-80.0
,Cyprus,Cyprus,35.1264,33.4299
,Czechia,Czechia,49.8175,15.473
Faroe Islands,Denmark,FaroeIslandsDenmark,61.8926,-6.9118
Greenland,Denmark,GreenlandDenmark,71.7069,-42.6043
,Denmark,Denmark,56.2639,9.5018
,Djibouti,Djibouti,11.8251,42.5903
,Dominican Republic,DominicanRepublic,18.7357,-70.1627
,Ecuador,Ecuador,-1.8312,-78.1834
,Egypt,Egypt,26.0,30.0
,El Salvador,ElSalvador,13.7942,-88.8965
,Equatorial Guinea,EquatorialGuinea,1.5,10.0
,Eritrea,Eritrea,15.1794,39.7823
,Estonia,Estonia,58.5953,25.0136
,Eswatini,Eswatini,-26.5225,31.4659
,Ethiopia,Ethiopia,9.145,40.4897
,Fiji,Fiji,-17.7134,178.065
,Finland,Finland,64.0,26.0
French Guiana,France,FrenchGuianaFrance,3.9339,-53.1258
French Polynesia,France,FrenchPolynesiaFrance,-17.6797,149.4068
Guadeloupe,France,GuadeloupeFrance,16.25,-61.5833
Mayotte,France,MayotteFrance,-12.8275,45.1662
New Caledonia,France,NewCaledoniaFrance,-20.9043,165.618
Reunion,France,ReunionFrance,-21.1351,55.2471
Saint Barthelemy,France,SaintBarthelemyFrance,17.9,-62.8333
St Martin,France,StMartinFrance,18.0708,-63.0501
Martinique,France,MartiniqueFrance,14.6415,-61.0242
,France,France,46.2276,2.2137
,Gabon,Gabon,-0.8037,11.6094
,Gambia,Gambia,13.4432,-15.3101
,Georgia,Georgia,42.3154,43.3569
,Germany,Germany,51.0,9.0
,Ghana,Ghana,7.9465,-1.0232
,Greece,Greece,39.0742,21.8243
,Guatemala,Guatemala,15.7835,-90.2308
,Guinea,Guinea,9.9456,-9.6966
,Guyana,Guyana,5.0,-58.75
,Haiti,Haiti,18.9712,-72.2852
,Holy See,HolySee,41.9029,12.4534
,Honduras,Honduras,15.2,-86.2419
,Hungary,Hungary,47.1625,19.5033
,Iceland,Iceland,64.9631,-19.0208
,India,India,21.0,78.0
,Indonesia,Indonesia,-0.7893,113.9213
,Iran,Iran,32.0,53.0
,Iraq,Iraq,33.0,44.0
,Ireland,Ireland,53.1424,-7.6921
,Israel,Israel,31.0,35.0
,Italy,Italy,43.0,12.0
,Jamaica,Jamaica,18.1096,-77.2975
,Japan,Japan,36.0,138.0
,Jordan,Jordan,31.24,36.51
,Kazakhstan,Kazakhstan,48.0196,66.9237
,Kenya,Kenya,-0.0236,37.9062
,"Korea, South",KoreaSouth,36.0,128.0
,Kuwait,Kuwait,29.5,47.75
,Kyrgyzstan,Kyrgyzstan,41.2044,74.7661
,Latvia,Latvia,56.8796,24.6032
,Lebanon,Lebanon,33.8547,35.8623
,Liberia,Liberia,6.4281,-9.4295
,Liechtenstein,Liechtenstein,47.14,9.55
,Lithuania,Lithuania,55.1694,23.8813
,Luxembourg,Luxembourg,49.8153,6.1296
,Madagascar,Madagascar,-18.7669,46.8691
,Malaysia,Malaysia,2.5,112.5
,Maldives,Maldives,3.2028,73.2207
,Malta,Malta,35.9375,14.3754
,Mauritania,Mauritania,21.0079,10.9408
,Mauritius,Mauritius,-20.2,57.5
,Mexico,Mexico,23.6345,-102.5528
,Moldova,Moldova,47.4116,28.3699
,Monaco,Monaco,43.7333,7.4167
,Mongolia,Mongolia,46.8625,103.8467
,Montenegro,Montenegro,42.5,19.3
,Morocco,Morocco,31.7917,-7.0926
,Namibia,Namibia,-22.9576,18.4904
,Nepal,Nepal,28.1667,84.25
Aruba,Netherlands,ArubaNetherlands,12.5186,-70.0358
Curacao,Netherlands,CuracaoNetherlands,12.1696,-68.99
Sint Maarten,Netherlands,SintMaartenNetherlands,18.0425,-63.0548
,Netherlands,Netherlands,52.1326,5.2913
,New Zealand,NewZealand,-40.9006,174.886
,Nicaragua,Nicaragua,12.8654,-85.2072
,Niger,Niger,17.6078,8.0817
,Nigeria,Nigeria,9.082,8.6753
,North Macedonia,NorthMacedonia,41.6086,21.7453
,Norway,Norway,60.472,8.4689
,Oman,Oman,21.0,57.0
,Pakistan,Pakistan,30.3753,69.3451
,Panama,Panama,8.538,-80.7821
,Papua New Guinea,PapuaNewGuinea,-6.315,143.9555
,Paraguay,Paraguay,-23.4425,-58.4438
,Peru,Peru,-9.19,-75.0152
,Philippines,Philippines,13.0,122.0
,Poland,Poland,51.9194,19.1451
,Portugal,Portugal,39.3999,-8.2245
,Qatar,Qatar,25.3548,51.1839
,Romania,Romania,45.9432,24.9668
,Russia,Russia,60.0,90.0
,Rwanda,Rwanda,-1.9403,29.8739
,Saint Lucia,SaintLucia,13.9094,-60.9789
,Saint Vincent and the Grenadines,SaintVincentandtheGrenadines,12.9843,-61.2872
,San Marino,SanMarino,43.9424,12.4578
,Saudi Arabia,SaudiArabia,24.0,45.0
,Senegal,Senegal,14.4974,-14.4524
,Serbia,Serbia,44.0165,21.0059
,Seychelles,Seychelles,-4.6796,55.492
,Singapore,Singapore,1.2833,103.8333
,Slovakia,Slovakia,48.669,19.699
,Slovenia,Slovenia,46.1512,14.9955
,Somalia,Somalia,5.1521,46.1996
,South Africa,SouthAfrica,-30.5595,22.9375
,Spain,Spain,40.0,-4.0
,Sri Lanka,SriLanka,7.0,81.0
,Sudan,Sudan,12.8628,30.2176
,Suriname,Suriname,3.9193,-56.0278
,Sweden,Sweden,63.0,16.0
,Switzerland,Switzerland,46.8182,8.2275
,Taiwan*,Taiwan,23.7,121.0
,Tanzania,Tanzania,-6.369,34.8888
,Thailand,Thailand,15.0,101.0
,Togo,Togo,8.6195,0.8248
,Trinidad and Tobago,TrinidadandTobago,10.6918,-61.2225
,Tunisia,Tunisia,34.0,9.0
,Turkey,Turkey,38.9637,35.2433
,Uganda,Uganda,1.0,32.0
,Ukraine,Ukraine,48.3794,31.1656
,United Arab Emirates,UnitedArabEmirates,24.0,54.0
Bermuda,United Kingdom,BermudaUnitedKingdom,32.3078,-64.7505
Cayman Islands,United Kingdom,CaymanIslandsUnitedKingdom,19.3133,-81.2546
Channel Islands,United Kingdom,ChannelIslandsUnitedKingdom,49.3723,-2.3644
Gibraltar,United Kingdom,GibraltarUnitedKingdom,36.1408,-5.3536
Isle of Man,United Kingdom,IsleofManUnitedKingdom,54.2361,-4.5481
Montserrat,United Kingdom,MontserratUnitedKingdom,16.7425,-62.1874
,United Kingdom,UnitedKingdom,55.3781,-3.4360000000000004
,Uruguay,Uruguay,-32.5228,-55.7658
,US,US,37.0902,-95.7129
,Uzbekistan,Uzbekistan,41.3775,64.5853
,Venezuela,Venezuela,6.4238,-66.5897
,Vietnam,Vietnam,16.0,108.0
,Zambia,Zambia,-15.4167,28.2833
,Zimbabwe,Zimbabwe,-20.0,30.0
Diamond Princess,Canada,DiamondPrincessCanada,0.0,0.0
,Dominica,Dominica,15.415,-61.371
,Grenada,Grenada,12.1165,-61.679
,Mozambique,Mozambique,-18.665695,35.529562
,Syria,Syria,34.802075,38.99681500000001
,Timor-Leste,Timor-Leste,-8.874217,125.727539
,Belize,Belize,13.1939,-59.5432
Recovered,Canada,RecoveredCanada,0.0,0.0
,Laos,Laos,19.85627,102.495496
,Libya,Libya,26.3351,17.228331
,West Bank and Gaza,WestBankandGaza,31.9522,35.2332
,Guinea-Bissau,Guinea-Bissau,11.8037,-15.1804
,Mali,Mali,17.570692,-3.996166000000001
,Saint Kitts and Nevis,SaintKittsandNevis,17.357822,-62.782998
Northwest Territories,Canada,NorthwestTerritoriesCanada,64.8255,-124.8457
Yukon,Canada,YukonCanada,64.2823,-135.0
,Kosovo,Kosovo,42.602636,20.902977
,Burma,Burma,21.9162,95.956
Anguilla,United Kingdom,AnguillaUnitedKingdom,18.2206,-63.0686
British Virgin Islands,United Kingdom,BritishVirginIslandsUnitedKingdom,18.4207,-64.64
Turks and Caicos Islands,United Kingdom,TurksandCaicosIslandsUnitedKingdom,21.69400000000001,-71.7979
,MS Zaandam,MSZaandam,0.0,0.0
